n,requested_s,actions,algorithm,cases,success_count,success_rate,avg_runtime_ms,avg_iterations,avg_value
20,2,3,dijkstra,20,20,1.000000,0.006253,20.000000,16.172247
20,2,3,pi,20,20,1.000000,0.019130,3.400000,16.172247
20,2,3,vi,20,20,1.000000,0.006269,4.700000,16.172247
50,2,3,dijkstra,20,20,1.000000,0.024146,50.000000,25.341828
50,2,3,pi,20,20,1.000000,0.077516,4.400000,25.341828
50,2,3,vi,20,20,1.000000,0.018245,7.250000,25.341828
100,2,3,dijkstra,20,20,1.000000,0.077618,100.000000,25.947586
100,2,3,pi,20,20,1.000000,0.163161,4.800000,25.947586
100,2,3,vi,20,20,1.000000,0.035083,7.350000,25.947586
200,2,3,dijkstra,20,20,1.000000,0.274981,200.000000,25.350469
200,2,3,pi,20,20,1.000000,0.336960,5.000000,25.350469
200,2,3,vi,20,20,1.000000,0.068832,7.600000,25.350469
